metric_name,treatment_a,treatment_b,ci_low,ci_high,alpha,achieved_alpha,method,n_pairs
gpu_utilization,dqn__mask_false,maskable_dqn__mask_true,-0.001528,0.020124,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_ppo__mask_true,-0.010994,-0.005294,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,ppo__mask_false,-0.006051,0.000101,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,-0.093839,0.023451,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,-0.123228,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,ppo__mask_false,-0.117325,0.005853,0.050000,0.048828,exact,10
gpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,-0.026215,-0.009747,0.050000,0.048828,exact,10
gpu_utilization,maskable_dqn__mask_true,ppo__mask_false,-0.020846,-0.004430,0.050000,0.048828,exact,10
gpu_utilization,maskable_ppo__mask_true,ppo__mask_false,0.004617,0.005895,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,dqn__mask_false,-3340011.337123,3655211.210473,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_a2c__mask_true,-8513815.710109,25853971.032159,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_dqn__mask_true,-8463215.317985,-4381492.051432,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_ppo__mask_true,-8517274.858269,-4543306.616086,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,ppo__mask_false,-8120.211442,3953229.443852,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_a2c__mask_true,-8524643.455530,26148313.591742,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_dqn__mask_true,-8463519.703289,-5020653.751591,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_ppo__mask_true,-8526000.581943,-5168629.463566,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,ppo__mask_false,-12919.073897,3367475.542114,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,maskable_dqn__mask_true,-34169456.841527,190816.604007,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,maskable_ppo__mask_true,-34357568.825127,1.253739,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,ppo__mask_false,-25834985.342887,8528031.623838,0.050000,0.048828,exact,10
episode_reward,maskable_dqn__mask_true,maskable_ppo__mask_true,-201954.026527,-49667.077075,0.050000,0.048828,exact,10
episode_reward,maskable_dqn__mask_true,ppo__mask_false,8299101.400824,8467196.206038,0.050000,0.048828,exact,10
episode_reward,maskable_ppo__mask_true,ppo__mask_false,8499797.204175,8530089.196927,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,dqn__mask_false,2.702618,4.210996,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,maskable_a2c__mask_true,-0.665702,0.283452,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,maskable_dqn__mask_true,4.003583,4.711324,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,maskable_ppo__mask_true,-0.366399,0.371128,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,ppo__mask_false,-0.181598,0.513521,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,maskable_a2c__mask_true,-4.882902,-2.302012,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,maskable_dqn__mask_true,-0.036993,2.145111,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,maskable_ppo__mask_true,-4.539994,-2.210473,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,ppo__mask_false,-4.238640,-2.040365,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_dqn__mask_true,4.158146,4.859424,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_ppo__mask_true,-0.170498,0.569991,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_a2c__mask_true,ppo__mask_false,-0.001631,0.783473,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_dqn__mask_true,maskable_ppo__mask_true,-4.500638,-4.137414,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_dqn__mask_true,ppo__mask_false,-4.218293,-3.941476,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_ppo__mask_true,ppo__mask_false,0.088196,0.399516,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,dqn__mask_false,1613.055802,3504.510030,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,maskable_a2c__mask_true,2675.219187,4720.704687,0.050000,0.048828,exact,10
