metric,treatment_a,treatment_b,delta,p_value
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-3577.765086,0.232422
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-2524.291913,0.193359
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-1470.818740,0.160156
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-417.345567,0.105469
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,636.127606,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,1689.600779,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,2743.073951,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,3796.547124,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,4850.020297,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,5903.493470,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,6956.966643,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,8010.439816,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,9063.912989,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,10117.386162,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,11170.859335,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,12224.332508,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,13277.805681,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,14331.278854,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,15384.752027,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,16438.225200,0.064453
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,17491.698373,0.064453
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,18545.171546,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,19598.644719,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,20652.117892,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,21705.591065,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,22759.064238,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,23812.537411,0.048828
