metric,treatment_a,treatment_b,delta,p_value
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,795.532134,0.048828
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,853.634503,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,911.736873,0.083984
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,969.839242,0.083984
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1027.941611,0.130859
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1086.043981,0.130859
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1144.146350,0.160156
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1202.248720,0.193359
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1260.351089,0.193359
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1318.453458,0.193359
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1376.555828,0.193359
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1434.658197,0.232422
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1492.760567,0.232422
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1550.862936,0.232422
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1608.965305,0.232422
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1667.067675,0.232422
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1725.170044,0.232422
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1783.272414,0.232422
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1841.374783,0.322266
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1899.477152,0.322266
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,1957.579522,0.375000
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2015.681891,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2073.784261,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2131.886630,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2189.988999,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2248.091369,0.625000
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2306.193738,0.625000
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2364.296108,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2422.398477,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2480.500846,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2538.603216,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2596.705585,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2654.807955,0.845703
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2712.910324,0.845703
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2771.012693,0.921875
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2829.115063,1.000000
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2887.217432,1.000000
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,2945.319802,0.921875
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3003.422171,0.921875
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3061.524540,0.845703
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3119.626910,0.845703
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3177.729279,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3235.831649,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3293.934018,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3352.036387,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3410.138757,0.769531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3468.241126,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3526.343496,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3584.445865,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3642.548234,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3700.650604,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3758.752973,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3816.855343,0.695312
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3874.957712,0.625000
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3933.060081,0.625000
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,3991.162451,0.556641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4049.264820,0.556641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4107.367189,0.556641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4165.469559,0.556641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4223.571928,0.556641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4281.674298,0.556641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4339.776667,0.556641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4397.879036,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4455.981406,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4514.083775,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4572.186145,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4630.288514,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4688.390883,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4746.493253,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4804.595622,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4862.697992,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4920.800361,0.492188
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4978.902730,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5037.005100,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5095.107469,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5153.209839,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5211.312208,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5269.414577,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5327.516947,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5385.619316,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5443.721686,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5501.824055,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5559.926424,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5618.028794,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5676.131163,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5734.233533,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5792.335902,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5850.438271,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5908.540641,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,5966.643010,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6024.745380,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6082.847749,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6140.950118,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6199.052488,0.431641
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6257.154857,0.322266
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6315.257227,0.275391
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6373.359596,0.193359
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6431.461965,0.160156
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6489.564335,0.130859
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6547.666704,0.105469
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6605.769074,0.105469
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6663.871443,0.083984
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6721.973812,0.083984
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6780.076182,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6838.178551,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6896.280921,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,6954.383290,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7012.485659,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7070.588029,0.064453
