metric_name,treatment_a,treatment_b,ci_low,ci_high,alpha,achieved_alpha,method,n_pairs
gpu_utilization,a2c__mask_false,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_a2c__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_dqn__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_ppo__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_dqn__mask_true,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_ppo__mask_true,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,dqn__mask_false,-45989.830074,2575.653160,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_a2c__mask_true,-808625.539733,-805951.372825,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_dqn__mask_true,-806749.262473,-802871.539204,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_ppo__mask_true,-808600.672924,-805924.671362,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,ppo__mask_false,-873.660165,4872.004801,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_a2c__mask_true,-809352.808524,-760319.760640,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_dqn__mask_true,-807325.602265,-756629.342888,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_ppo__mask_true,-809350.376037,-760319.253155,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,ppo__mask_false,-1507.848657,49716.244303,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,maskable_dqn__mask_true,912.610946,3298.799300,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,maskable_ppo__mask_true,0.507485,83.770430,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,ppo__mask_false,806827.924240,811491.967877,0.050000,0.048828,exact,10
episode_reward,maskable_dqn__mask_true,maskable_ppo__mask_true,-3217.847383,-908.173755,0.050000,0.048828,exact,10
episode_reward,maskable_dqn__mask_true,ppo__mask_false,804800.408565,809254.051554,0.050000,0.048828,exact,10
episode_reward,maskable_ppo__mask_true,ppo__mask_false,806804.087156,811490.998020,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,dqn__mask_false,16.342725,19.962467,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,maskable_a2c__mask_true,-3.490092,0.510018,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,maskable_dqn__mask_true,16.242669,19.855581,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,maskable_ppo__mask_true,-3.824804,1.131816,0.050000,0.048828,exact,10
decision_latency_mean_ms,a2c__mask_false,ppo__mask_false,-6.066405,-0.070799,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,maskable_a2c__mask_true,-21.472127,-18.298503,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,maskable_dqn__mask_true,-0.106645,-0.064572,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,maskable_ppo__mask_true,-21.164722,-17.821997,0.050000,0.048828,exact,10
decision_latency_mean_ms,dqn__mask_false,ppo__mask_false,-23.874215,-18.713005,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_dqn__mask_true,18.200056,21.415002,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_ppo__mask_true,-2.551994,2.730328,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_a2c__mask_true,ppo__mask_false,-3.716394,1.206417,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_dqn__mask_true,maskable_ppo__mask_true,-21.072738,-17.750519,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_dqn__mask_true,ppo__mask_false,-23.775767,-18.666026,0.050000,0.048828,exact,10
decision_latency_mean_ms,maskable_ppo__mask_true,ppo__mask_false,-4.570595,1.593079,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,dqn__mask_false,11736.804669,13642.260699,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,maskable_a2c__mask_true,15043.837378,17575.865789,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,maskable_dqn__mask_true,16358.038865,18696.597237,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,maskable_ppo__mask_true,15007.190397,17527.637730,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,ppo__mask_false,-4197.149196,2374.215701,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,maskable_a2c__mask_true,2560.515184,5057.178096,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,maskable_dqn__mask_true,3763.685412,6337.532610,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,maskable_ppo__mask_true,2454.040698,5117.397364,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,ppo__mask_false,-16828.237428,-10074.374113,0.050000,0.048828,exact,10
eval_wall_s,maskable_a2c__mask_true,maskable_dqn__mask_true,957.749447,1364.785439,0.050000,0.048828,exact,10
eval_wall_s,maskable_a2c__mask_true,maskable_ppo__mask_true,-289.212579,174.026646,0.050000,0.048828,exact,10
eval_wall_s,maskable_a2c__mask_true,ppo__mask_false,-20139.001036,-14742.545916,0.050000,0.048828,exact,10
eval_wall_s,maskable_dqn__mask_true,maskable_ppo__mask_true,-1431.098089,-1041.437894,0.050000,0.048828,exact,10
eval_wall_s,maskable_dqn__mask_true,ppo__mask_false,-21085.029844,-15889.454874,0.050000,0.048828,exact,10
eval_wall_s,maskable_ppo__mask_true,ppo__mask_false,-19782.819010,-14659.146225,0.050000,0.048828,exact,10
